VFX Catalog,资产类型,效果名称,标准资产名称,VFX ID,Legacy VFX ID,GameplayTag,Element,Form,Context,Lifecycle,Priority,Effect Type,正式效果,Catalog 状态,历史来源路径,标准目标路径,资产迁移状态
00_Core,NiagaraEmitter,NE_VFX_Fragments,NE_VFX_Fragments,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH06_MagicImpact/Emitters/NE_VFX_CH06_Fragments,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Debris/MagicImpact/NE_VFX_Fragments,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_EnergyOrb,ET_VFX_EnergyOrb,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH03_EnergyOrb/EffectTypes/NET_VFX_CH03_EnergyOrb,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/EnergyOrb/ET_VFX_EnergyOrb,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_Fire_Combat,ET_Fire_Combat,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Fire/Niagara/Scalability/ET_Fire_Combat,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/Fire/ET_Fire_Combat,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_Fire,ET_VFX_Fire,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH14_Fire/EffectTypes/NET_VFX_CH14_Fire,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/Fire/ET_VFX_Fire,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_Frost_HeroSpells,ET_Frost_HeroSpells,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Frost/Niagara/Scalability/ET_Frost_HeroSpells,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/Frost/ET_Frost_HeroSpells,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_GroundAOE,ET_VFX_GroundAOE,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH07_GroundAOE/EffectTypes/NET_VFX_CH07_GroundAOE,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/GroundAOE/ET_VFX_GroundAOE,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_Lightning,ET_VFX_Lightning,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH13_Lightning/EffectTypes/NET_VFX_CH13_Lightning,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/Lightning/ET_VFX_Lightning,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_MagicBeam,ET_VFX_MagicBeam,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH12_MagicBeam/EffectTypes/NET_VFX_CH12_MagicBeam,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/MagicBeam/ET_VFX_MagicBeam,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_MagicCircle,ET_VFX_MagicCircle,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH08_MagicCircle/EffectTypes/NET_VFX_CH08_MagicCircle,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/MagicCircle/ET_VFX_MagicCircle,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_MagicImpact,ET_VFX_MagicImpact,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH06_MagicImpact/EffectTypes/NET_VFX_CH06_MagicImpact,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/MagicImpact/ET_VFX_MagicImpact,已迁移（migration_complete.json）；旧路径已移除
