VFX Catalog,VFX ID,Legacy VFX ID,效果名称,效果描述,GameplayTag,Element,Form,Context,Lifecycle,Priority,Effect Type,粒子预算上限,参数,历史来源路径,标准目标路径,Catalog 状态,资产迁移状态
01_Cast,MGVFX-CAST-ICE-FROSTBOLT-CHARGE,MVFX-FROST-001-CAST,寒冰箭·蓄力,Ice Orb；Combat 场景；OneShot 生命周期。,VFX.Cast.Ice.FrostboltCharge,Ice,Orb,Combat,OneShot,Combat,ET_VFX_Combat,未单独记录,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Frost/Niagara/Systems/NS_Frostbolt_CastCharge,/ModularGameVFX/ModularGameVFXLibrary/01_Cast/NS_Ice_Frostbolt_Charge,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
02_Projectile,MGVFX-PROJECTILE-ICE-FROSTBOLT,MVFX-FROST-001-PROJ,寒冰箭·弹体,Ice Orb；Combat 场景；Attached 生命周期。,VFX.Projectile.Ice.Frostbolt,Ice,Orb,Combat,Attached,Combat,ET_VFX_Combat,未单独记录,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Frost/Niagara/Systems/NS_Frostbolt_Projectile,/ModularGameVFX/ModularGameVFXLibrary/02_Projectile/NS_Ice_Frostbolt_Projectile,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
05_Impact,MGVFX-IMPACT-ICE-FROSTBOLT,MVFX-FROST-001-HIT,寒冰箭·命中,Ice Burst；Combat 场景；OneShot 生命周期。,VFX.Impact.Ice.Frostbolt,Ice,Burst,Combat,OneShot,Combat,ET_VFX_Combat,未单独记录,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Frost/Niagara/Systems/NS_Frostbolt_Impact,/ModularGameVFX/ModularGameVFXLibrary/05_Impact/NS_Ice_Frostbolt_Impact,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
06_Area,MGVFX-AREA-ICE-FROSTNOVA,MVFX-FROST-002-BURST,冰环术·爆发,Ice Ring；Combat 场景；OneShot 生命周期。,VFX.Area.Ice.FrostNova,Ice,Ring,Combat,OneShot,Combat,ET_VFX_Combat,未单独记录,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Frost/Niagara/Systems/NS_FrostNova_Burst,/ModularGameVFX/ModularGameVFXLibrary/06_Area/NS_Ice_FrostNova_Burst,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
07_Status,MGVFX-STATUS-NATURE-PETAL-AURA,MVFX-NATURE-SHARED-AURA,花瓣光环·粉色/翡翠治疗共用,Nature Ring；Combat 场景；Persistent 生命周期。,VFX.Status.Nature.PetalBloom,Nature,Ring,Combat,Persistent,Combat,ET_VFX_Combat,未单独记录,User.GlowColor / PetalColor / CoreColor / Intensity / SpellDuration,/ModularGameVFX/Effects/Nature/Niagara/Systems/NS_PetalBloom_Aura,/ModularGameVFX/ModularGameVFXLibrary/07_Status/NS_Nature_PetalBloom_Aura,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
01_Cast,MGVFX-CAST-FIRE-FIREBALL-CHARGE,MVFX-FIRE-001-CAST,火球术·蓄力,Fire Orb；Combat 场景；OneShot 生命周期。,VFX.Cast.Fire.FireballCharge,Fire,Orb,Combat,OneShot,Combat,ET_VFX_Combat,28,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Fire/Niagara/Systems/NS_Fireball_CastCharge,/ModularGameVFX/ModularGameVFXLibrary/01_Cast/NS_Fire_Fireball_Charge,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
02_Projectile,MGVFX-PROJECTILE-FIRE-FIREBALL,MVFX-FIRE-001-PROJ,火球术·弹体,Fire Orb；Combat 场景；Attached 生命周期。,VFX.Projectile.Fire.Fireball,Fire,Orb,Combat,Attached,Combat,ET_VFX_Combat,44,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Fire/Niagara/Systems/NS_Fireball_Projectile,/ModularGameVFX/ModularGameVFXLibrary/02_Projectile/NS_Fire_Fireball_Projectile,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
05_Impact,MGVFX-IMPACT-FIRE-BURST,MVFX-FIRE-SHARED-HIT,火焰·共用命中爆燃,Fire Explosion；Combat 场景；OneShot 生命周期。,VFX.Impact.Fire.FireBurst,Fire,Explosion,Combat,OneShot,Combat,ET_VFX_Combat,66,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Fire/Niagara/Systems/NS_Fire_ImpactBurst,/ModularGameVFX/ModularGameVFXLibrary/05_Impact/NS_Fire_Impact_Burst,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
14_Indicator,MGVFX-INDICATOR-FIRE-FLAMESTRIKE,MVFX-FIRE-003-WARNING,烈焰风暴·范围预警,Fire Circle；Combat 场景；OneShot 生命周期。,VFX.Indicator.Fire.FlamestrikeWarning,Fire,Circle,Combat,OneShot,Critical,ET_VFX_Critical,25,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Fire/Niagara/Systems/NS_Flamestrike_GroundWarning,/ModularGameVFX/ModularGameVFXLibrary/14_Indicator/NS_Fire_Flamestrike_Warning,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
06_Area,MGVFX-AREA-FIRE-FLAMESTRIKE,MVFX-FIRE-003-GROUND,烈焰风暴·地面爆发,Fire Column；Combat 场景；OneShot 生命周期。,VFX.Area.Fire.Flamestrike,Fire,Column,Combat,OneShot,Combat,ET_VFX_Combat,90,Niagara 系统及材质实例参数,/ModularGameVFX/Effects/Fire/Niagara/Systems/NS_Flamestrike_GroundBurst,/ModularGameVFX/ModularGameVFXLibrary/06_Area/NS_Fire_Flamestrike_Area,Registered_Review,已迁移（migration_complete.json）；旧路径已移除
