VFX Catalog,VFX ID,Legacy VFX ID,效果名称,效果描述,GameplayTag,Element,Form,Context,Lifecycle,Priority,Effect Type,历史来源路径,标准目标路径,Catalog 状态,资产迁移状态
00_Core,MGVFX-LIB-CORE-SPARKS-001,MVFX-LIB-CH01-001,早期魔法火花原子,Energy Spark；Combat 场景；OneShot 生命周期。,VFX.Core.Energy.MagicSparkLegacy,Energy,Spark,Combat,OneShot,Cosmetic,ET_VFX_Cosmetic（建议策略，未绑定）,/ModularGameVFX/Niagara/CH01_MagicSpark/Systems/NS_VFX_CH01_MagicSpark,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Sparks/Legacy/NS_Energy_MagicSpark_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
00_Core,MGVFX-LIB-CORE-SPARKS-002,MVFX-LIB-CH01-002,早期简式魔法火花原子,Energy Spark；Combat 场景；OneShot 生命周期。,VFX.Core.Energy.MagicSparkSimpleLegacy,Energy,Spark,Combat,OneShot,Cosmetic,ET_VFX_Cosmetic（建议策略，未绑定）,/ModularGameVFX/Niagara/CH01_MagicSpark/Systems/NS_VFX_MagicSpark_01,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Sparks/Legacy/NS_Energy_MagicSparkSimple_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
01_Cast,MGVFX-LIB-CORE-ENERGY-001,MVFX-LIB-CH03-001,早期蓄能球,Energy Orb；Combat 场景；OneShot 生命周期。,VFX.Cast.Energy.EnergyOrbLegacy,Energy,Orb,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH03_EnergyOrb/Systems/NS_VFX_CH03_EnergyOrb,/ModularGameVFX/ModularGameVFXLibrary/01_Cast/Legacy/NS_Energy_ChargeOrb_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
02_Projectile,MGVFX-LIB-PROJECTILE-001,MVFX-LIB-CH04-001,早期魔法弹体,Energy Orb；Combat 场景；Attached 生命周期。,VFX.Projectile.Energy.MagicProjectileLegacy,Energy,Orb,Combat,Attached,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH04_MagicProjectile/Systems/NS_VFX_CH04_MagicProjectile,/ModularGameVFX/ModularGameVFXLibrary/02_Projectile/Legacy/NS_Energy_Projectile_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
03_Trail,MGVFX-LIB-TRAIL-001,MVFX-LIB-CH05-001,早期弹体尾迹,Energy Trail；Combat 场景；Attached 生命周期。,VFX.Trail.Energy.ProjectileTrailLegacy,Energy,Trail,Combat,Attached,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH05_ProjectileTrail/Systems/NS_VFX_CH05_ProjectileTrail,/ModularGameVFX/ModularGameVFXLibrary/03_Trail/Legacy/NS_Energy_ProjectileTrail_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
05_Impact,MGVFX-LIB-IMPACT-001,MVFX-LIB-CH06-001,早期魔法命中,Energy Burst；Combat 场景；OneShot 生命周期。,VFX.Impact.Energy.MagicImpactLegacy,Energy,Burst,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH06_MagicImpact/Systems/NS_VFX_CH06_MagicImpact,/ModularGameVFX/ModularGameVFXLibrary/05_Impact/Legacy/NS_Energy_Impact_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
06_Area,MGVFX-LIB-AREA-001,MVFX-LIB-CH07-001,早期地面范围,Energy Field；Combat 场景；OneShot 生命周期。,VFX.Area.Energy.GroundAOELegacy,Energy,Field,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH07_GroundAOE/Systems/NS_VFX_CH07_GroundAOE,/ModularGameVFX/ModularGameVFXLibrary/06_Area/Legacy/NS_Energy_GroundArea_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
06_Area,MGVFX-LIB-AREA-002,MVFX-LIB-CH08-001,早期魔法阵,Energy Circle；Combat 场景；OneShot 生命周期。,VFX.Area.Energy.MagicCircleLegacy,Energy,Circle,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH08_MagicCircle/Systems/NS_VFX_CH08_MagicCircle,/ModularGameVFX/ModularGameVFXLibrary/06_Area/Legacy/NS_Energy_MagicCircle_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
09_Lifecycle,MGVFX-LIB-LIFECYCLE-001,MVFX-LIB-CH09-001,早期召唤,Energy Column；Combat 场景；OneShot 生命周期。,VFX.Lifecycle.Energy.SummoningLegacy,Energy,Column,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH09_Summoning/Systems/NS_VFX_CH09_Summoning,/ModularGameVFX/ModularGameVFXLibrary/09_Lifecycle/Legacy/NS_Energy_Summoning_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
08_Space,MGVFX-LIB-SPACE-001,MVFX-LIB-CH10-001,早期传送门,Arcane Portal；Combat 场景；OneShot 生命周期。,VFX.Space.Arcane.PortalLegacy,Arcane,Portal,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH10_PortalTeleport/Systems/NS_VFX_CH10_Portal,/ModularGameVFX/ModularGameVFXLibrary/08_Space/Legacy/NS_Arcane_Portal_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
08_Space,MGVFX-LIB-SPACE-002,MVFX-LIB-CH10-002,早期瞬移,Arcane Burst；Combat 场景；OneShot 生命周期。,VFX.Space.Arcane.TeleportLegacy,Arcane,Burst,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH10_PortalTeleport/Systems/NS_VFX_CH10_Teleport,/ModularGameVFX/ModularGameVFXLibrary/08_Space/Legacy/NS_Arcane_Teleport_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
07_Status,MGVFX-LIB-STATUS-001,MVFX-LIB-CH11-001,早期魔法护盾,Energy Orb；Combat 场景；Persistent 生命周期。,VFX.Status.Energy.ShieldLegacy,Energy,Orb,Combat,Persistent,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH11_MagicShield/Systems/NS_VFX_CH11_MagicShield,/ModularGameVFX/ModularGameVFXLibrary/07_Status/Legacy/NS_Energy_Shield_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
04_Beam,MGVFX-LIB-BEAM-001,MVFX-LIB-CH12-001,早期魔法光束,Energy Beam；Combat 场景；OneShot 生命周期。,VFX.Beam.Energy.MagicBeamLegacy,Energy,Beam,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH12_MagicBeam/Systems/NS_VFX_CH12_MagicBeam,/ModularGameVFX/ModularGameVFXLibrary/04_Beam/Legacy/NS_Energy_Beam_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
04_Beam,MGVFX-LIB-BEAM-LIGHTNING-001,MVFX-LIB-CH13-001,早期雷链,Lightning Beam；Combat 场景；OneShot 生命周期。,VFX.Beam.Lightning.ChainLegacy,Lightning,Beam,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH13_Lightning/Systems/NS_VFX_CH13_ChainLightning,/ModularGameVFX/ModularGameVFXLibrary/04_Beam/Legacy/NS_Lightning_Chain_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
04_Beam,MGVFX-LIB-BEAM-LIGHTNING-002,MVFX-LIB-CH13-002,早期闪电,Lightning Beam；Combat 场景；OneShot 生命周期。,VFX.Beam.Lightning.BoltLegacy,Lightning,Beam,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH13_Lightning/Systems/NS_VFX_CH13_Lightning,/ModularGameVFX/ModularGameVFXLibrary/04_Beam/Legacy/NS_Lightning_Bolt_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
05_Impact,MGVFX-LIB-IMPACT-FIRE-001,MVFX-LIB-CH14-001,早期火焰爆炸,Fire Explosion；Combat 场景；OneShot 生命周期。,VFX.Impact.Fire.ExplosionLegacy,Fire,Explosion,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH14_Fire/Systems/NS_VFX_CH14_Fire_Explosion,/ModularGameVFX/ModularGameVFXLibrary/05_Impact/Legacy/NS_Fire_Explosion_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
11_World,MGVFX-LIB-AREA-FIRE-001,MVFX-LIB-CH14-002,早期持续火焰,Fire Field；World 场景；Loop 生命周期。,VFX.World.Fire.FireLoopLegacy,Fire,Field,World,Loop,Ambient,ET_VFX_Ambient（建议策略，未绑定）,/ModularGameVFX/Niagara/CH14_Fire/Systems/NS_VFX_CH14_Fire_Loop,/ModularGameVFX/ModularGameVFXLibrary/11_World/Legacy/NS_Fire_Loop_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
05_Impact,MGVFX-LIB-IMPACT-FIRE-002,MVFX-LIB-CH14-003,早期熔岩喷发,Fire Burst；Combat 场景；OneShot 生命周期。,VFX.Impact.Fire.LavaBurstLegacy,Fire,Burst,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH14_Fire/Systems/NS_VFX_CH14_LavaBurst,/ModularGameVFX/ModularGameVFXLibrary/05_Impact/Legacy/NS_Fire_LavaBurst_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
06_Area,MGVFX-LIB-AREA-ICE-001,MVFX-LIB-CH15-001,早期冰环,Ice Ring；Combat 场景；OneShot 生命周期。,VFX.Area.Ice.FrostNovaLegacy,Ice,Ring,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH15_FrostIce/Systems/NS_VFX_FrostNova,/ModularGameVFX/ModularGameVFXLibrary/06_Area/Legacy/NS_Ice_FrostNova_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
01_Cast,MGVFX-LIB-CAST-ICE-001,MVFX-LIB-CH15-002,早期寒冰箭蓄力,Ice Orb；Combat 场景；OneShot 生命周期。,VFX.Cast.Ice.FrostboltChargeLegacy,Ice,Orb,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH15_FrostIce/Systems/NS_VFX_Frostbolt_Charge,/ModularGameVFX/ModularGameVFXLibrary/01_Cast/Legacy/NS_Ice_FrostboltCharge_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
05_Impact,MGVFX-LIB-IMPACT-ICE-001,MVFX-LIB-CH15-003,早期寒冰箭命中,Ice Burst；Combat 场景；OneShot 生命周期。,VFX.Impact.Ice.FrostboltLegacy,Ice,Burst,Combat,OneShot,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH15_FrostIce/Systems/NS_VFX_Frostbolt_Impact,/ModularGameVFX/ModularGameVFXLibrary/05_Impact/Legacy/NS_Ice_FrostboltImpact_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
02_Projectile,MGVFX-LIB-PROJECTILE-ICE-001,MVFX-LIB-CH15-004,早期寒冰箭弹体,Ice Orb；Combat 场景；Attached 生命周期。,VFX.Projectile.Ice.FrostboltLegacy,Ice,Orb,Combat,Attached,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/CH15_FrostIce/Systems/NS_VFX_Frostbolt_Projectile,/ModularGameVFX/ModularGameVFXLibrary/02_Projectile/Legacy/NS_Ice_FrostboltProjectile_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
07_Status,MGVFX-LIB-STATUS-NATURE-001,MVFX-LIB-PETALSAURA-001,早期花瓣光环,Nature Ring；Combat 场景；Persistent 生命周期。,VFX.Status.Nature.PetalsAuraLegacy,Nature,Ring,Combat,Persistent,Combat,ET_VFX_Combat（建议策略，未绑定）,/ModularGameVFX/Niagara/PetalsAura/NS_VFX_PetalsAura,/ModularGameVFX/ModularGameVFXLibrary/07_Status/Legacy/NS_Nature_PetalsAura_Legacy,Prototype_RequiresValidation,已迁移（migration_complete.json）；旧路径已移除
